doc_id,f_01_past_tense,f_02_perfect_aspect,f_03_present_tense,f_04_place_adverbials,f_05_time_adverbials,f_06_first_person_pronouns,f_07_second_person_pronouns,f_08_third_person_pronouns,f_09_pronoun_it,f_10_demonstrative_pronoun,f_11_indefinite_pronouns,f_12_proverb_do,f_13_wh_question,f_14_nominalizations,f_15_gerunds,f_16_other_nouns,f_17_agentless_passives,f_18_by_passives,f_19_be_main_verb,f_20_existential_there,f_21_that_verb_comp,f_22_that_adj_comp,f_23_wh_clause,f_24_infinitives,f_25_present_participle,f_26_past_participle,f_27_past_participle_whiz,f_28_present_participle_whiz,f_29_that_subj,f_30_that_obj,f_31_wh_subj,f_32_wh_obj,f_33_pied_piping,f_34_sentence_relatives,f_35_because,f_36_though,f_37_if,f_38_other_adv_sub,f_39_prepositions,f_40_adj_attr,f_41_adj_pred,f_42_adverbs,f_43_type_token,f_44_mean_word_length,f_45_conjuncts,f_46_downtoners,f_47_hedges,f_48_amplifiers,f_49_emphatics,f_50_discourse_particles,f_51_demonstratives,f_52_modal_possibility,f_53_modal_necessity,f_54_modal_predictive,f_55_verb_public,f_56_verb_private,f_57_verb_suasive,f_58_verb_seem,f_59_contractions,f_60_that_deletion,f_61_stranded_preposition,f_62_split_infinitive,f_63_split_auxiliary,f_64_phrasal_coordination,f_65_clausal_coordination,f_66_neg_synthetic,f_67_neg_analytic
SB7R,84.5771144278607,7.462686567164179,67.16417910447761,0.0,0.0,39.80099502487562,22.388059701492537,84.5771144278607,24.875621890547265,7.462686567164179,2.487562189054726,0.0,19.90049751243781,0.0,0.0,139.30348258706468,12.437810945273633,0.0,67.16417910447761,12.437810945273633,2.487562189054726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.975124378109452,0.0,0.0,2.487562189054726,0.0,0.0,0.0,0.0,2.487562189054726,9.950248756218905,42.28855721393035,24.875621890547265,7.462686567164179,89.55223880597015,0.47043010752688175,3.6559139784946235,0.0,0.0,0.0,9.950248756218905,7.462686567164179,0.0,2.487562189054726,7.462686567164179,0.0,2.487562189054726,2.487562189054726,24.875621890547265,2.487562189054726,0.0,74.62686567164178,0.0,0.0,0.0,0.0,4.975124378109452,32.33830845771144,0.0,29.850746268656717
SYG9,55.94405594405595,2.331002331002331,86.24708624708624,0.0,6.993006993006993,62.93706293706294,39.62703962703962,2.331002331002331,13.986013986013987,9.324009324009324,0.0,2.331002331002331,11.655011655011656,4.662004662004662,0.0,160.83916083916083,9.324009324009324,0.0,69.93006993006993,16.317016317016318,0.0,0.0,2.331002331002331,20.97902097902098,0.0,0.0,0.0,0.0,4.662004662004662,2.331002331002331,0.0,0.0,0.0,0.0,4.662004662004662,0.0,6.993006993006993,2.331002331002331,83.91608391608392,18.64801864801865,13.986013986013987,88.57808857808858,0.4024691358024691,3.8814814814814813,0.0,0.0,0.0,0.0,27.972027972027973,0.0,2.331002331002331,4.662004662004662,0.0,0.0,2.331002331002331,23.31002331002331,0.0,0.0,53.613053613053616,0.0,4.662004662004662,0.0,0.0,9.324009324009324,13.986013986013987,0.0,16.317016317016318
SXQ6,4.878048780487805,7.317073170731708,107.3170731707317,0.0,4.878048780487805,60.97560975609756,43.90243902439024,19.51219512195122,7.317073170731708,17.073170731707318,0.0,0.0,26.829268292682926,4.878048780487805,0.0,160.97560975609755,4.878048780487805,0.0,39.02439024390244,4.878048780487805,2.4390243902439024,0.0,2.4390243902439024,14.634146341463415,0.0,2.4390243902439024,0.0,0.0,4.878048780487805,2.4390243902439024,0.0,0.0,0.0,0.0,2.4390243902439024,0.0,2.4390243902439024,4.878048780487805,46.34146341463415,21.95121951219512,4.878048780487805,75.60975609756098,0.44559585492227977,3.6580310880829017,0.0,0.0,0.0,0.0,14.634146341463415,2.4390243902439024,12.195121951219512,19.51219512195122,0.0,9.75609756097561,12.195121951219512,4.878048780487805,9.75609756097561,0.0,56.09756097560976,0.0,2.4390243902439024,0.0,7.317073170731708,2.4390243902439024,17.073170731707318,2.4390243902439024,9.75609756097561
SCXU,32.098765432098766,2.4691358024691357,79.01234567901234,0.0,2.4691358024691357,79.01234567901234,22.22222222222222,2.4691358024691357,44.44444444444444,19.753086419753085,4.938271604938271,2.4691358024691357,24.691358024691358,4.938271604938271,0.0,101.23456790123457,4.938271604938271,0.0,54.32098765432099,4.938271604938271,2.4691358024691357,0.0,0.0,17.28395061728395,0.0,0.0,0.0,0.0,7.407407407407407,0.0,2.4691358024691357,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,4.938271604938271,71.60493827160494,19.753086419753085,12.345679012345679,93.82716049382717,0.4609164420485175,3.61455525606469,0.0,2.4691358024691357,0.0,0.0,14.814814814814815,4.938271604938271,4.938271604938271,12.345679012345679,0.0,19.753086419753085,4.938271604938271,24.691358024691358,0.0,2.4691358024691357,76.54320987654322,0.0,2.4691358024691357,0.0,12.345679012345679,0.0,9.876543209876543,0.0,14.814814814814815
SNYG,73.52941176470588,12.254901960784313,75.98039215686273,2.450980392156863,4.901960784313726,53.92156862745098,26.96078431372549,36.76470588235294,36.76470588235294,17.156862745098042,0.0,7.352941176470588,22.058823529411764,0.0,2.450980392156863,98.0392156862745,12.254901960784313,0.0,39.21568627450981,2.450980392156863,2.450980392156863,0.0,0.0,2.450980392156863,0.0,0.0,0.0,0.0,9.803921568627452,0.0,9.803921568627452,0.0,0.0,0.0,0.0,0.0,7.352941176470588,7.352941176470588,53.92156862745098,4.901960784313726,0.0,125.0,0.41644562334217505,3.546419098143236,0.0,2.450980392156863,17.156862745098042,4.901960784313726,4.901960784313726,0.0,9.803921568627452,0.0,0.0,19.607843137254903,22.058823529411764,41.666666666666664,0.0,2.450980392156863,58.8235294117647,0.0,4.901960784313726,0.0,12.254901960784313,2.450980392156863,26.96078431372549,0.0,19.607843137254903
SBVQ,40.66985645933014,16.74641148325359,71.77033492822966,4.784688995215311,0.0,50.239234449760765,31.10047846889952,47.84688995215311,11.961722488038278,19.138755980861244,4.784688995215311,4.784688995215311,26.31578947368421,0.0,0.0,138.755980861244,11.961722488038278,0.0,26.31578947368421,4.784688995215311,2.3923444976076556,0.0,0.0,9.569377990430622,0.0,2.3923444976076556,0.0,0.0,0.0,4.784688995215311,2.3923444976076556,0.0,0.0,0.0,4.784688995215311,0.0,4.784688995215311,4.784688995215311,45.45454545454545,28.70813397129187,4.784688995215311,105.26315789473684,0.4961832061068702,3.712468193384224,4.784688995215311,0.0,2.3923444976076556,0.0,14.354066985645934,0.0,4.784688995215311,9.569377990430622,0.0,9.569377990430622,9.569377990430622,23.923444976076556,0.0,0.0,57.41626794258374,2.3923444976076556,0.0,0.0,11.961722488038278,2.3923444976076556,35.88516746411483,0.0,19.138755980861244
SDJ9,94.33962264150944,7.0754716981132075,44.81132075471698,2.3584905660377355,4.716981132075471,66.0377358490566,14.150943396226415,47.16981132075472,30.660377358490567,4.716981132075471,4.716981132075471,0.0,14.150943396226415,2.3584905660377355,2.3584905660377355,125.0,9.433962264150942,0.0,33.0188679245283,0.0,2.3584905660377355,0.0,0.0,18.867924528301884,0.0,0.0,0.0,2.3584905660377355,0.0,2.3584905660377355,0.0,0.0,0.0,0.0,2.3584905660377355,0.0,2.3584905660377355,0.0,56.60377358490566,23.58490566037736,9.433962264150942,117.9245283018868,0.4691358024691358,3.8666666666666667,0.0,2.3584905660377355,2.3584905660377355,2.3584905660377355,9.433962264150942,2.3584905660377355,0.0,7.0754716981132075,4.716981132075471,4.716981132075471,2.3584905660377355,16.50943396226415,4.716981132075471,0.0,42.45283018867924,0.0,0.0,0.0,0.0,9.433962264150942,56.60377358490566,0.0,23.58490566037736
S8JW,76.35467980295567,4.926108374384237,59.11330049261083,4.926108374384237,0.0,34.48275862068965,22.167487684729064,22.167487684729064,27.093596059113302,19.704433497536947,2.4630541871921183,9.852216748768473,19.704433497536947,4.926108374384237,4.926108374384237,162.5615763546798,4.926108374384237,0.0,64.03940886699507,7.389162561576354,0.0,0.0,0.0,4.926108374384237,2.4630541871921183,0.0,0.0,0.0,4.926108374384237,0.0,2.4630541871921183,0.0,0.0,2.4630541871921183,2.4630541871921183,0.0,2.4630541871921183,4.926108374384237,59.11330049261083,27.093596059113302,12.315270935960593,110.83743842364532,0.5166240409207161,3.8414322250639388,0.0,4.926108374384237,14.778325123152708,0.0,14.778325123152708,2.4630541871921183,0.0,7.389162561576354,0.0,0.0,0.0,12.315270935960593,2.4630541871921183,0.0,32.01970443349754,0.0,0.0,0.0,2.4630541871921183,2.4630541871921183,12.315270935960593,0.0,17.241379310344826
SKEQ,56.23471882640587,12.224938875305625,90.46454767726162,0.0,4.88997555012225,75.79462102689487,44.00977995110025,22.004889975550125,31.78484107579462,26.89486552567237,2.444987775061125,2.444987775061125,7.334963325183374,0.0,2.444987775061125,97.799511002445,0.0,0.0,53.78973105134474,17.114914425427873,2.444987775061125,0.0,2.444987775061125,12.224938875305625,0.0,0.0,0.0,0.0,4.88997555012225,0.0,0.0,0.0,0.0,0.0,4.88997555012225,0.0,2.444987775061125,7.334963325183374,58.67970660146699,26.89486552567237,9.7799511002445,95.35452322738386,0.46296296296296297,3.4576719576719577,0.0,2.444987775061125,2.444987775061125,0.0,19.559902200489,2.444987775061125,7.334963325183374,2.444987775061125,0.0,14.669926650366747,4.88997555012225,17.114914425427873,0.0,0.0,68.45965770171149,0.0,4.88997555012225,0.0,0.0,0.0,24.44987775061125,2.444987775061125,19.559902200489
SYJK,78.43137254901961,0.0,36.76470588235294,0.0,0.0,46.568627450980394,14.705882352941176,44.11764705882353,12.254901960784313,4.901960784313726,0.0,0.0,19.607843137254903,0.0,0.0,161.76470588235296,4.901960784313726,0.0,44.11764705882353,17.156862745098042,0.0,0.0,0.0,12.254901960784313,0.0,0.0,0.0,4.901960784313726,0.0,2.450980392156863,2.450980392156863,0.0,0.0,0.0,4.901960784313726,0.0,2.450980392156863,7.352941176470588,75.98039215686273,14.705882352941176,9.803921568627452,112.74509803921569,0.434010152284264,3.8629441624365484,0.0,2.450980392156863,2.450980392156863,2.450980392156863,19.607843137254903,9.803921568627452,4.901960784313726,4.901960784313726,0.0,4.901960784313726,4.901960784313726,19.607843137254903,0.0,4.901960784313726,31.862745098039213,4.901960784313726,0.0,0.0,2.450980392156863,4.901960784313726,14.705882352941176,0.0,19.607843137254903
