doc_id,f_01_past_tense,f_02_perfect_aspect,f_03_present_tense,f_04_place_adverbials,f_05_time_adverbials,f_06_first_person_pronouns,f_07_second_person_pronouns,f_08_third_person_pronouns,f_09_pronoun_it,f_10_demonstrative_pronoun,f_11_indefinite_pronouns,f_12_proverb_do,f_13_wh_question,f_14_nominalizations,f_15_gerunds,f_16_other_nouns,f_17_agentless_passives,f_18_by_passives,f_19_be_main_verb,f_20_existential_there,f_21_that_verb_comp,f_22_that_adj_comp,f_23_wh_clause,f_24_infinitives,f_25_present_participle,f_26_past_participle,f_27_past_participle_whiz,f_28_present_participle_whiz,f_29_that_subj,f_30_that_obj,f_31_wh_subj,f_32_wh_obj,f_33_pied_piping,f_34_sentence_relatives,f_35_because,f_36_though,f_37_if,f_38_other_adv_sub,f_39_prepositions,f_40_adj_attr,f_41_adj_pred,f_42_adverbs,f_43_type_token,f_44_mean_word_length,f_45_conjuncts,f_46_downtoners,f_47_hedges,f_48_amplifiers,f_49_emphatics,f_50_discourse_particles,f_51_demonstratives,f_52_modal_possibility,f_53_modal_necessity,f_54_modal_predictive,f_55_verb_public,f_56_verb_private,f_57_verb_suasive,f_58_verb_seem,f_59_contractions,f_60_that_deletion,f_61_stranded_preposition,f_62_split_infinitive,f_63_split_auxiliary,f_64_phrasal_coordination,f_65_clausal_coordination,f_66_neg_synthetic,f_67_neg_analytic
S26N,61.12469437652811,19.559902200489,80.68459657701712,4.88997555012225,4.88997555012225,88.0195599022005,29.339853300733495,2.444987775061125,34.229828850855746,9.7799511002445,4.88997555012225,12.224938875305625,9.7799511002445,2.444987775061125,0.0,149.1442542787286,9.7799511002445,0.0,48.8997555012225,0.0,0.0,0.0,0.0,14.669926650366747,7.334963325183374,2.444987775061125,0.0,0.0,0.0,0.0,0.0,0.0,2.444987775061125,0.0,0.0,0.0,2.444987775061125,4.88997555012225,85.57457212713938,22.004889975550125,7.334963325183374,85.57457212713938,0.5261780104712042,3.730366492146597,4.88997555012225,0.0,4.88997555012225,2.444987775061125,9.7799511002445,4.88997555012225,12.224938875305625,7.334963325183374,0.0,4.88997555012225,0.0,26.89486552567237,0.0,2.444987775061125,75.79462102689487,0.0,2.444987775061125,0.0,2.444987775061125,0.0,12.224938875305625,0.0,12.224938875305625
S29Q,26.50602409638554,21.686746987951807,101.20481927710844,0.0,7.228915662650603,84.33734939759036,21.686746987951807,28.91566265060241,14.457831325301205,0.0,7.228915662650603,2.4096385542168677,19.27710843373494,2.4096385542168677,4.819277108433735,156.6265060240964,0.0,0.0,38.55421686746988,2.4096385542168677,0.0,0.0,0.0,19.27710843373494,2.4096385542168677,0.0,0.0,0.0,4.819277108433735,0.0,2.4096385542168677,0.0,2.4096385542168677,0.0,0.0,0.0,0.0,9.63855421686747,69.87951807228916,33.734939759036145,12.048192771084338,118.0722891566265,0.5207253886010362,3.9792746113989637,0.0,0.0,4.819277108433735,9.63855421686747,21.686746987951807,2.4096385542168677,4.819277108433735,12.048192771084338,7.228915662650603,0.0,4.819277108433735,26.50602409638554,7.228915662650603,0.0,62.65060240963856,2.4096385542168677,0.0,0.0,7.228915662650603,4.819277108433735,19.27710843373494,2.4096385542168677,12.048192771084338
S2FQ,19.32367149758454,12.077294685990339,86.95652173913044,0.0,2.4154589371980677,67.6328502415459,12.077294685990339,12.077294685990339,33.81642512077295,12.077294685990339,2.4154589371980677,0.0,26.570048309178745,19.32367149758454,9.66183574879227,171.49758454106282,2.4154589371980677,0.0,21.73913043478261,0.0,4.830917874396135,0.0,2.4154589371980677,21.73913043478261,0.0,0.0,0.0,0.0,9.66183574879227,0.0,0.0,0.0,0.0,0.0,2.4154589371980677,0.0,2.4154589371980677,0.0,79.71014492753622,50.72463768115942,4.830917874396135,67.6328502415459,0.5139240506329114,4.713924050632912,2.4154589371980677,0.0,2.4154589371980677,4.830917874396135,26.570048309178745,0.0,9.66183574879227,24.154589371980677,0.0,0.0,7.246376811594203,31.40096618357488,7.246376811594203,0.0,45.893719806763286,0.0,0.0,0.0,0.0,2.4154589371980677,14.492753623188406,0.0,7.246376811594203
S2LC,19.801980198019802,17.32673267326733,111.38613861386139,0.0,2.4752475247524752,64.35643564356435,32.17821782178218,14.85148514851485,27.22772277227723,9.900990099009901,0.0,2.4752475247524752,34.65346534653466,7.425742574257425,0.0,158.41584158415841,0.0,0.0,47.02970297029703,0.0,2.4752475247524752,0.0,12.376237623762377,14.85148514851485,0.0,0.0,0.0,0.0,2.4752475247524752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425742574257425,2.4752475247524752,84.15841584158416,27.22772277227723,12.376237623762377,111.38613861386139,0.5188172043010753,4.193548387096774,4.9504950495049505,0.0,0.0,0.0,24.752475247524753,2.4752475247524752,0.0,12.376237623762377,0.0,2.4752475247524752,7.425742574257425,34.65346534653466,2.4752475247524752,0.0,84.15841584158416,0.0,0.0,0.0,9.900990099009901,7.425742574257425,22.277227722772277,0.0,14.85148514851485
S2PS,9.7799511002445,22.004889975550125,105.13447432762835,2.444987775061125,2.444987775061125,70.90464547677261,14.669926650366747,9.7799511002445,31.78484107579462,7.334963325183374,7.334963325183374,2.444987775061125,14.669926650366747,12.224938875305625,2.444987775061125,156.479217603912,4.88997555012225,0.0,48.8997555012225,0.0,0.0,0.0,2.444987775061125,26.89486552567237,2.444987775061125,0.0,0.0,0.0,0.0,0.0,2.444987775061125,0.0,0.0,2.444987775061125,0.0,0.0,4.88997555012225,4.88997555012225,83.12958435207824,44.00977995110025,0.0,83.12958435207824,0.527027027027027,4.2,0.0,0.0,0.0,2.444987775061125,31.78484107579462,0.0,2.444987775061125,9.7799511002445,2.444987775061125,0.0,2.444987775061125,31.78484107579462,0.0,0.0,80.68459657701712,2.444987775061125,0.0,0.0,7.334963325183374,2.444987775061125,29.339853300733495,0.0,12.224938875305625
S2T6,24.44987775061125,17.114914425427873,119.8044009779951,7.334963325183374,0.0,117.35941320293398,26.89486552567237,41.56479217603912,22.004889975550125,0.0,0.0,0.0,19.559902200489,7.334963325183374,0.0,117.35941320293398,2.444987775061125,0.0,34.229828850855746,0.0,0.0,0.0,14.669926650366747,31.78484107579462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88997555012225,2.444987775061125,53.78973105134474,31.78484107579462,4.88997555012225,92.90953545232274,0.47989276139410186,3.7694369973190347,0.0,0.0,0.0,2.444987775061125,17.114914425427873,2.444987775061125,4.88997555012225,7.334963325183374,0.0,0.0,7.334963325183374,44.00977995110025,7.334963325183374,2.444987775061125,90.46454767726162,0.0,2.444987775061125,0.0,9.7799511002445,12.224938875305625,24.44987775061125,2.444987775061125,17.114914425427873
S2TP,12.468827930174564,22.443890274314214,79.80049875311721,2.493765586034913,0.0,72.31920199501248,27.43142144638404,4.987531172069826,22.443890274314214,17.456359102244388,4.987531172069826,12.468827930174564,14.962593516209475,12.468827930174564,2.493765586034913,154.6134663341646,2.493765586034913,0.0,34.912718204488776,2.493765586034913,2.493765586034913,0.0,0.0,27.43142144638404,0.0,0.0,0.0,0.0,0.0,0.0,2.493765586034913,0.0,0.0,0.0,0.0,0.0,4.987531172069826,14.962593516209475,69.82543640897755,44.88778054862843,12.468827930174564,49.87531172069826,0.5170603674540682,3.979002624671916,14.962593516209475,0.0,7.481296758104738,2.493765586034913,14.962593516209475,2.493765586034913,0.0,22.443890274314214,2.493765586034913,14.962593516209475,4.987531172069826,27.43142144638404,0.0,2.493765586034913,49.87531172069826,0.0,4.987531172069826,0.0,2.493765586034913,7.481296758104738,27.43142144638404,0.0,2.493765586034913
S2W4,22.22222222222222,32.098765432098766,93.82716049382717,0.0,0.0,79.01234567901234,24.691358024691358,2.4691358024691357,39.50617283950617,4.938271604938271,0.0,4.938271604938271,22.22222222222222,0.0,2.4691358024691357,155.55555555555557,4.938271604938271,0.0,29.62962962962963,0.0,0.0,0.0,0.0,17.28395061728395,4.938271604938271,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,96.29629629629629,61.72839506172839,9.876543209876543,66.66666666666667,0.48517520215633425,3.876010781671159,4.938271604938271,0.0,12.345679012345679,2.4691358024691357,9.876543209876543,0.0,14.814814814814815,2.4691358024691357,7.407407407407407,7.407407407407407,0.0,22.22222222222222,0.0,0.0,91.35802469135803,0.0,0.0,0.0,4.938271604938271,2.4691358024691357,17.28395061728395,0.0,14.814814814814815
S32W,9.70873786407767,14.563106796116505,116.50485436893204,4.854368932038835,2.4271844660194173,77.66990291262135,38.83495145631068,2.4271844660194173,33.980582524271846,9.70873786407767,4.854368932038835,2.4271844660194173,16.990291262135923,0.0,2.4271844660194173,145.63106796116503,12.135922330097086,0.0,50.970873786407765,0.0,0.0,0.0,2.4271844660194173,12.135922330097086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4271844660194173,2.4271844660194173,7.281553398058253,58.25242718446602,29.12621359223301,12.135922330097086,92.23300970873787,0.5013404825737265,3.7587131367292224,2.4271844660194173,0.0,0.0,0.0,14.563106796116505,2.4271844660194173,2.4271844660194173,7.281553398058253,2.4271844660194173,7.281553398058253,4.854368932038835,33.980582524271846,2.4271844660194173,0.0,92.23300970873787,0.0,0.0,0.0,4.854368932038835,2.4271844660194173,14.563106796116505,0.0,16.990291262135923
S37K,24.93765586034913,27.43142144638404,89.77556109725685,0.0,2.493765586034913,94.76309226932668,9.975062344139651,0.0,27.43142144638404,4.987531172069826,4.987531172069826,2.493765586034913,7.481296758104738,0.0,2.493765586034913,184.53865336658353,0.0,0.0,39.900249376558605,0.0,0.0,0.0,0.0,14.962593516209475,2.493765586034913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493765586034913,0.0,84.78802992518703,32.418952618453865,14.962593516209475,84.78802992518703,0.5218579234972678,3.860655737704918,0.0,0.0,7.481296758104738,0.0,17.456359102244388,0.0,12.468827930174564,14.962593516209475,0.0,12.468827930174564,0.0,9.975062344139651,4.987531172069826,0.0,89.77556109725685,0.0,0.0,0.0,4.987531172069826,7.481296758104738,12.468827930174564,2.493765586034913,7.481296758104738
