Feature,Mean,Std
f_01_past_tense,40.10,30.40
f_02_perfect_aspect,8.60,5.20
f_03_present_tense,77.70,34.30
f_04_place_adverbials,3.10,3.40
f_05_time_adverbials,5.20,3.50
f_06_first_person_pronouns,27.20,26.10
f_07_second_person_pronouns,9.90,13.80
f_08_third_person_pronouns,29.90,22.50
f_09_pronoun_it,10.30,7.10
f_10_demonstrative_pronoun,4.60,4.80
f_11_indefinite_pronouns,1.40,2.00
f_12_proverb_do,3.00,3.50
f_13_wh_question,0.20,0.60
f_14_nominalizations,19.90,14.40
f_15_gerunds,7.00,3.80
f_16_other_nouns,180.50,35.60
f_17_agentless_passives,9.60,6.60
f_18_by_passives,0.80,1.30
f_19_be_main_verb,28.30,9.50
f_20_existential_there,2.20,1.80
f_21_that_verb_comp,3.30,2.90
f_22_that_adj_comp,0.30,0.60
f_23_wh_clause,0.60,1.00
f_24_infinitives,14.90,5.60
f_25_present_participle,1.00,1.70
f_26_past_participle,0.10,0.40
f_27_past_participle_whiz,2.50,3.10
f_28_present_participle_whiz,1.60,1.80
f_29_that_subj,0.40,0.80
f_30_that_obj,0.80,1.10
f_31_wh_subj,2.10,2.00
f_32_wh_obj,1.40,1.70
f_33_pied_piping,0.70,1.10
f_34_sentence_relatives,0.10,0.40
f_35_because,1.10,1.70
f_36_though,0.50,0.80
f_37_if,2.50,2.20
f_38_other_adv_sub,1.00,1.10
f_39_prepositions,110.50,25.40
f_40_adj_attr,60.70,18.80
f_41_adj_pred,4.70,2.60
f_42_adverbs,65.60,17.60
f_43_type_token,51.10,5.20
f_44_mean_word_length,4.50,0.40
f_45_conjuncts,1.20,1.60
f_46_downtoners,2.00,1.60
f_47_hedges,0.60,1.30
f_48_amplifiers,2.70,2.60
f_49_emphatics,6.30,4.20
f_50_discourse_particles,1.20,2.30
f_51_demonstratives,9.90,4.20
f_52_modal_possibility,5.80,3.50
f_53_modal_necessity,2.10,2.10
f_54_modal_predictive,5.60,4.20
f_55_verb_public,7.70,5.40
f_56_verb_private,18.00,10.40
f_57_verb_suasive,2.90,3.10
f_58_verb_seem,0.80,1.00
f_59_contractions,13.50,18.60
f_60_that_deletion,3.10,4.10
f_61_stranded_preposition,2.00,2.70
f_62_split_infinitive,0.00,0.00
f_63_split_auxiliary,5.50,2.50
f_64_phrasal_coordination,3.40,2.70
f_65_clausal_coordination,4.50,4.80
f_66_neg_synthetic,1.70,1.60
f_67_neg_analytic,8.50,6.10
